Ticker,Payment_Date,Gross_DPS_TRY,Tax_Rate,Net_DPS_TRY,USDTRY_Rate,Net_DPS_USD,Post_Acq
TCELL,2024-12-15,3.0211,0.15,2.5679,34.85,0.0737,Yes
TCELL,2025-06-15,1.8182,0.15,1.5455,43.40,0.0356,Yes
TCELL,2025-12-15,1.8182,0.15,1.5455,42.96,0.0360,Yes
THYAO,2025-06-15,3.4420,0.15,2.9257,38.70,0.0756,Yes
THYAO,2025-09-15,3.4420,0.15,2.9257,42.45,0.0689,Yes
KRDMD,2023-06-15,0.1161,0.15,0.0987,23.50,0.0042,Yes
KRDMD,2023-11-15,0.1161,0.15,0.0987,28.50,0.0035,Yes
TURSG,2024-08-15,0.2118,0.15,0.1800,33.50,0.0054,Yes
TURSG,2025-08-15,0.2000,0.15,0.1700,42.00,0.0040,Yes
KAYSE,2023-09-15,0.0529,0.15,0.0450,26.80,0.0017,Yes
KAYSE,2023-11-15,0.2519,0.15,0.2141,28.50,0.0075,Yes
TRALT,2022-07-15,0.4500,0.15,0.3825,17.20,0.0222,No
