Ticker,Year,Quarter,Q_Date,Q_Label,Sort_Order,Revenue_TRY,Revenue_USD,EBITDA_TRY,EBITDA_USD,Net_Profit_TRY,Net_Profit_USD,EBITDA_Margin,Net_Margin,Op_CF_TRY,Op_CF_USD,Capex_TRY,Capex_USD,FCF_TRY,FCF_USD,Template_Type
THYAO,2017,1,2017-03-31,2017-Q1,20171,7310000000,1980459137,,,-1421000000,-384983917,,-19.44,820000000,222158207,,,,,standard
THYAO,2017,2,2017-06-30,2017-Q2,20172,9364000000,2616449585,,,-194000000,-54206666,,-2.07,3065000000,856409438,,,,,standard
THYAO,2017,3,2017-09-30,2017-Q3,20173,12658000000,3602712546,,,2438000000,693902132,,19.26,2561000000,728910320,,,,,standard
THYAO,2017,4,2017-12-31,2017-Q4,20174,10447000000,2751862488,,,-184000000,-48467761,,-1.76,2566000000,675914535,,,,,standard
THYAO,2018,1,2018-03-31,2018-Q1,20181,10532000000,2764008342,,,-314000000,-82405870,,-2.98,2054000000,539049861,,,,,standard
THYAO,2018,2,2018-06-30,2018-Q2,20182,13843000000,3171025199,,,441000000,101020163,,3.19,3653000000,836795135,,,,,standard
THYAO,2018,3,2018-09-30,2018-Q3,20183,21992000000,3916634728,,,3956000000,704538331,,17.99,6011000000,1070520705,,,,,standard
THYAO,2018,4,2018-12-31,2018-Q4,20184,16486000000,2990388629,,,-38000000,-6892804,,-0.23,-2105000000,-381825068,,,,,standard
THYAO,2019,1,2019-03-31,2019-Q1,20191,14848000000,2771289480,,,-1253000000,-233864879,,-8.44,2395000000,447012278,,,,,standard
THYAO,2019,2,2019-06-30,2019-Q2,20192,18668000000,3182560419,,,133000000,22674123,,0.71,4861000000,828713638,,,,,standard
THYAO,2019,3,2019-09-30,2019-Q3,20193,22635000000,3992119490,,,3707000000,653801058,,16.38,3933000000,693660524,,,,,standard
THYAO,2019,4,2019-12-31,2019-Q4,20194,18967000000,3278954594,,,1949000000,336936917,,10.28,1840000000,318093344,,,,,standard
THYAO,2020,1,2020-03-31,2020-Q1,20201,15330000000,2516268903,,,-2023000000,-332055577,,-13.2,-226000000,-37095680,,,,,standard
THYAO,2020,2,2020-06-30,2020-Q2,20202,6177000000,900449076,,,-2234000000,-325660229,,-36.17,2861000000,417060840,,,,,standard
THYAO,2020,3,2020-09-30,2020-Q3,20203,11018000000,1529494120,,,-946000000,-131321604,,-8.59,459000000,63717354,,,,,standard
THYAO,2020,4,2020-12-31,2020-Q4,20204,13923000000,1770002633,,,-385000000,-48944266,,-2.77,2509000000,318964060,,,,,standard
THYAO,2021,1,2021-03-31,2021-Q1,20211,13252000000,1799355742,2566000000,348411322,438000000,59471613,19.36,3.31,4778000000,648756545,,,,,standard
THYAO,2021,2,2021-06-30,2021-Q2,20212,18233000000,2179767941,4399000000,525903536,-497000000,-59416699,24.13,-2.73,9787000000,1170042716,,,,,standard
THYAO,2021,3,2021-09-30,2021-Q3,20213,29033000000,3402233283,9680000000,1134351193,6291000000,737211090,33.34,21.67,8657000000,1014470896,,,,,standard
THYAO,2021,4,2021-12-31,2021-Q4,20214,36860000000,3331555350,11277000000,1019260708,1982000000,179141148,30.59,5.38,26140000000,2362638547,,,,,standard
THYAO,2022,1,2022-03-31,2022-Q1,20221,42614000000,3065314667,8247000000,593224059,2220000000,159689270,19.35,5.21,19865000000,1428931240,,,,,standard
THYAO,2022,2,2022-06-30,2022-Q2,20222,71969000000,4567313722,15649000000,993120544,9155000000,580996778,21.74,12.72,41452000000,2630636641,,,,,standard
THYAO,2022,3,2022-09-30,2022-Q3,20223,108537000000,6067604855,34161000000,1909721564,27118000000,1515992781,31.47,24.99,26930000000,1505482911,,,,,standard
THYAO,2022,4,2022-12-31,2022-Q4,20224,88049000000,4734455429,20627000000,1109128010,8939000000,480656192,23.43,10.15,28765000000,1546713880,,,,,standard
THYAO,2023,1,2023-03-31,2023-Q1,20231,82057000000,4353141763,11908000000,631722000,4415000000,234216714,14.51,5.38,29689000000,1575007931,,,,,standard
THYAO,2023,2,2023-06-30,2023-Q2,20232,107633000000,5203785503,25623000000,1238807763,13758000000,665164782,23.81,12.78,46192000000,2233267306,,,,,standard
THYAO,2023,3,2023-09-30,2023-Q3,20233,169091000000,6316103287,55794000000,2084088844,51329000000,1917306454,33.0,30.36,37472000000,1399702068,,,,,standard
THYAO,2023,4,2023-12-31,2023-Q4,20234,145617000000,5115100918,22072000000,775325048,93496000000,3284242056,15.16,64.21,31679000000,1112790965,,,,,standard
THYAO,2024,1,2024-03-31,2024-Q1,20241,147238000000,4768426580,15500000000,501980548,6918000000,224045254,10.53,4.7,35194000000,1139787318,,,,,standard
THYAO,2024,2,2024-06-30,2024-Q2,20242,182875000000,5660364493,34065000000,1054383139,30391000000,940665139,18.63,16.62,48662000000,1506190879,,,,,standard
THYAO,2024,3,2024-09-30,2024-Q3,20243,221815000000,6630224509,59088000000,1766186713,51522000000,1540033033,26.64,23.23,74611000000,2230181371,,,,,standard
THYAO,2024,4,2024-12-31,2024-Q4,20244,193502000000,5612031093,27603000000,800554487,24526000000,711313964,14.26,12.67,-1993000000,-57801873,,,,,standard
THYAO,2025,1,2025-03-31,2025-Q1,20251,176712000000,4885116151,10167000000,281061704,-1854000000,-51252916,5.75,-1.05,32339000000,893995717,,,,,standard
THYAO,2025,2,2025-06-30,2025-Q2,20252,231324000000,5980126927,46071000000,1191015319,26789000000,692542150,19.92,11.58,75540000000,1952840121,,,,,standard
THYAO,2025,3,2025-09-30,2025-Q3,20253,282789000000,6950772508,62536000000,1537094829,56016000000,1376837405,22.11,19.81,32270000000,793175933,,,,,standard
THYAO,2025,4,2025-12-31,2025-Q4,20254,264647000000,6276436431,39443000000,935440349,37166000000,881438431,14.9,14.04,45664000000,1082979188,,,,,standard
