Ticker,Year,Quarter,Q_Date,Q_Label,Sort_Order,Price_TRY,USDTRY_Rate,Price_USD,Acq_Price_USD,Cumul_Nom_TRY,Cumul_Nom_USD,Q_Return_TRY,Q_Return_USD
THYAO,2017,1,2017-03-31,2017-Q1,20171,7.98,3.6434,2.1900,2.0214,5.56%,8.34%,5.56%,8.34%
THYAO,2017,2,2017-06-30,2017-Q2,20172,9.35,3.5232,2.6540,2.0214,23.68%,31.30%,17.16%,21.19%
THYAO,2017,3,2017-09-30,2017-Q3,20173,11.26,3.5546,3.1680,2.0214,48.94%,56.73%,20.43%,19.37%
THYAO,2017,4,2017-12-31,2017-Q4,20174,15.44,3.7719,4.0936,2.0214,104.23%,102.52%,37.11%,29.20%
THYAO,2018,1,2018-03-31,2018-Q1,20181,15.29,3.9517,3.8692,2.0214,102.25%,91.42%,-5.48%,-5.48%
THYAO,2018,2,2018-06-30,2018-Q2,20182,17.24,4.5884,3.7575,2.0214,128.04%,85.89%,12.76%,-2.89%
THYAO,2018,3,2018-09-30,2018-Q3,20183,19.22,6.0614,3.1710,2.0214,154.23%,56.87%,11.49%,-15.61%
THYAO,2018,4,2018-12-31,2018-Q4,20184,14.35,5.2879,2.7138,2.0214,89.81%,34.25%,-25.34%,-14.42%
THYAO,2019,1,2019-03-31,2019-Q1,20191,13.18,5.5654,2.3683,2.0214,74.34%,17.17%,-12.73%,-12.73%
THYAO,2019,2,2019-06-30,2019-Q2,20192,12.49,5.7781,2.1613,2.0214,65.21%,6.92%,-8.74%,-8.74%
THYAO,2019,3,2019-09-30,2019-Q3,20193,12.74,5.6701,2.2469,2.0214,68.52%,11.15%,2.00%,3.96%
THYAO,2019,4,2019-12-31,2019-Q4,20194,14.47,5.9501,2.4319,2.0214,91.40%,20.31%,13.56%,8.23%
THYAO,2020,1,2020-03-31,2020-Q1,20201,9.80,6.5234,1.5022,2.0214,29.63%,-25.67%,-34.98%,-38.23%
THYAO,2020,2,2020-06-30,2020-Q2,20202,12.26,6.8493,1.7899,2.0214,62.17%,-11.45%,25.10%,19.15%
THYAO,2020,3,2020-09-30,2020-Q3,20203,12.76,7.7143,1.6538,2.0214,68.78%,-18.18%,4.08%,-7.60%
THYAO,2020,4,2020-12-31,2020-Q4,20204,18.19,7.4344,2.4468,2.0214,140.61%,21.04%,42.55%,47.91%
THYAO,2021,1,2021-03-31,2021-Q1,20211,26.24,8.2848,3.1672,2.0214,247.09%,56.69%,44.26%,29.44%
THYAO,2021,2,2021-06-30,2021-Q2,20212,25.52,8.6963,2.9346,2.0214,237.57%,45.18%,-7.35%,-7.35%
THYAO,2021,3,2021-09-30,2021-Q3,20213,22.78,8.8710,2.5680,2.0214,201.32%,27.04%,-9.79%,-12.49%
THYAO,2021,4,2021-12-31,2021-Q4,20214,27.22,13.3290,2.0421,2.0214,260.05%,1.02%,19.49%,-20.48%
THYAO,2022,1,2022-03-31,2022-Q1,20221,42.46,14.6697,2.8942,2.0214,461.64%,43.18%,56.00%,41.73%
THYAO,2022,2,2022-06-30,2022-Q2,20222,43.50,16.7300,2.5997,2.0214,475.40%,28.61%,2.45%,-10.18%
THYAO,2022,3,2022-09-30,2022-Q3,20223,52.25,18.5678,2.8140,2.0214,591.27%,39.22%,20.11%,8.25%
THYAO,2022,4,2022-12-31,2022-Q4,20224,47.76,18.7081,2.5528,2.0214,531.75%,26.29%,-8.59%,-9.28%
THYAO,2023,1,2023-03-31,2023-Q1,20231,66.50,19.1714,3.4680,2.0214,779.63%,71.57%,39.24%,35.86%
THYAO,2023,2,2023-06-30,2023-Q2,20232,145.00,26.0863,5.5585,2.0214,1817.99%,174.98%,117.97%,60.27%
THYAO,2023,3,2023-09-30,2023-Q3,20233,224.50,27.3540,8.2073,2.0214,2869.31%,305.99%,54.83%,47.67%
THYAO,2023,4,2023-12-31,2023-Q4,20234,249.00,29.4395,8.4593,2.0214,3193.65%,318.46%,10.91%,3.07%
THYAO,2024,1,2024-03-31,2024-Q1,20241,263.00,32.2133,8.1639,2.0214,3378.84%,303.94%,5.62%,-3.49%
THYAO,2024,2,2024-06-30,2024-Q2,20242,282.00,32.5882,8.6533,2.0214,3630.16%,328.06%,7.22%,5.99%
THYAO,2024,3,2024-09-30,2024-Q3,20243,305.00,34.0634,8.9543,2.0214,3934.66%,342.97%,8.16%,3.48%
THYAO,2024,4,2024-12-31,2024-Q4,20244,268.50,42.9557,6.2503,2.0214,3451.59%,209.18%,-11.97%,-30.21%
THYAO,2025,1,2025-03-31,2025-Q1,20251,304.75,38.1200,7.9946,2.0214,3931.35%,295.48%,13.49%,27.91%
THYAO,2025,2,2025-06-30,2025-Q2,20252,270.00,40.2500,6.7081,2.0214,3471.43%,231.86%,-11.40%,-16.09%
THYAO,2025,3,2025-09-30,2025-Q3,20253,290.00,42.5000,6.8235,2.0214,3735.98%,237.57%,7.41%,1.72%
THYAO,2025,4,2025-12-31,2025-Q4,20254,268.50,42.9557,6.2503,2.0214,3451.59%,209.18%,-7.41%,-8.40%
