Ticker,Payment_Date,Net_DPS_TRY,Net_DPS_USD,USDTRY_Rate,Total_Cash_Dividend_M_TRY,Your_Dividend_Income_M_TRY,Payout_Ratio
TCELL,2024-12-15,2.5679,0.0794,32.34,5649.38,1480.14,0.25
TCELL,2025-06-15,1.5455,0.0425,36.36,3400.10,891.03,0.18
TCELL,2025-12-15,1.5455,0.0380,40.67,3400.10,891.03,0.18
THYAO,2025-06-15,2.9257,0.0768,38.09,4037.47,1982.80,0.15
THYAO,2025-09-15,2.9257,0.0710,41.20,4037.47,1982.80,0.15
KRDMD,2023-06-15,0.0987,0.0042,23.50,148.05,6.53,0.08
KRDMD,2023-11-15,0.0987,0.0038,25.97,148.05,6.53,0.08
TURSG,2024-08-15,0.18,0.0056,32.14,1233.00,998.73,0.12
TURSG,2025-08-15,0.17,0.0041,41.46,1164.50,943.25,0.10
KAYSE,2023-09-15,0.045,0.0017,26.47,58.50,5.50,0.05
KAYSE,2023-11-15,0.2141,0.0076,28.17,278.33,26.19,0.22
